Time (s),Accel_X (m/s^2),Accel_Y (m/s^2),Accel_Z (m/s^2)
1.009331423E0,3.812962770E0,7.881658554E0,-5.344967842E-1
1.019218507E0,4.126422882E0,7.965407372E0,-6.062814593E-1
1.029105642E0,4.473680973E0,8.044370651E0,-7.091727853E-1
1.038992725E0,4.581357956E0,8.269595146E0,-3.116651475E-1
1.048879809E0,3.982853174E0,8.288737297E0,2.533400953E-1
1.058766944E0,3.101995468E0,8.169096947E0,7.151548862E-1
1.068654027E0,2.376372099E0,7.915158272E0,1.083948612E0
1.078541111E0,1.911865234E0,7.781160355E0,1.239482164E0
1.088428246E0,1.837687731E0,7.998907089E0,1.050449133E0
1.098315329E0,1.976471543E0,8.315058708E0,9.284151793E-1
1.108202413E0,2.113161564E0,8.583054543E0,1.088734269E0
1.118089548E0,2.024626970E0,8.755637169E0,1.636989832E0
1.127976632E0,1.622333765E0,8.880064011E0,2.020140409E0
1.137863715E0,1.028614640E0,8.956634521E0,1.953141451E0
1.147750850E0,8.392825127E-1,9.160024643E0,2.292922258E0
1.157637934E0,5.736792088E-1,9.205488205E0,2.379063845E0
1.167525017E0,3.320041299E-1,8.925527573E0,2.065604210E0
1.177412152E0,2.790629268E-1,8.484949112E0,2.034497499E0
1.187299236E0,4.564309120E-1,7.979764462E0,1.972284079E0
1.197186319E0,6.765705943E-1,7.702197075E0,1.873879194E0
1.207073454E0,9.999007583E-1,7.783553123E0,2.465504646E0
1.216960538E0,1.129113197E0,7.991728306E0,2.649751902E0
1.226847621E0,5.976074338E-1,7.989335537E0,2.747857809E0
1.236734757E0,-7.381857634E-1,7.800302505E0,2.965604544E0
1.246621840E0,-2.617748022E0,7.855337620E0,3.418147087E0
1.256508923E0,-3.601497173E0,8.063512802E0,4.299304008E0
1.266396059E0,-3.115754128E0,8.178668022E0,3.846761465E0
1.276283142E0,-1.523629785E0,8.398807526E0,3.176471949E0
1.286170277E0,2.303091809E-2,8.669196129E0,2.747857809E0
1.296057361E0,9.329017401E-1,8.906385422E0,2.180459738E0
1.305944444E0,1.584048629E0,9.186345100E0,2.324028969E0
1.315831579E0,1.610369682E0,9.289535522E0,1.974676847E0
1.325718663E0,7.052844763E-1,9.200701714E0,1.998605132E0
1.335605746E0,-5.180460811E-1,8.774779320E0,2.458027124E0
1.345492882E0,-1.573879123E0,8.238488197E0,2.513360977E0
1.355379965E0,-2.002493382E0,7.972586155E0,2.616252422E0
1.365267100E0,-1.959422588E0,7.958229065E0,2.479861498E0
1.375154184E0,-1.782054663E0,8.113762856E0,2.264208317E0
1.385041267E0,-1.798804402E0,8.417949677E0,2.577967405E0
1.394928350E0,-1.872981906E0,8.621339798E0,2.745464802E0
1.404815486E0,-1.798804402E0,8.597412109E0,2.525325298E0
1.414702569E0,-1.329512119E0,8.341380119E0,2.240280151E0
1.424589652E0,-6.496513486E-1,8.020442009E0,1.926820397E0
1.434476788E0,-1.525424421E-2,7.723732471E0,1.277767301E0
1.444363871E0,5.688936114E-1,7.711768150E0,8.781659007E-1
1.454251007E0,3.894318938E-1,8.073084831E0,2.022533417E0
1.464138090E0,-1.389631748E0,9.014061928E0,4.220340729E0
1.474025225E0,-4.370191574E0,1.079282665E1,6.633502483E0
1.483912309E0,-6.893423080E0,1.241845036E1,9.089735031E0
1.493799392E0,-7.503891945E0,1.318923855E1,9.503992081E0
1.503686527E0,-6.673283100E0,1.210259819E1,8.216055870E0
1.513573611E0,-5.054837704E0,1.041476059E1,6.975975513E0
1.523460694E0,-1.961815476E0,9.722636223E0,4.732704163E0
1.533347829E0,1.172183990E0,1.012971592E1,4.275375843E0
1.543234913E0,2.637488842E0,1.061097240E1,1.787737608E0
1.553122048E0,2.960519791E0,1.083589745E1,3.825525343E-1
1.563009132E0,3.053839922E0,1.109940720E1,-1.393819153E-1
1.572896215E0,2.548954248E0,1.122383404E1,1.645065546E-1
1.582783350E0,1.517049551E0,1.092443180E1,1.450349569E0
1.592670434E0,5.976074338E-1,1.013210869E1,2.666501760E0
1.602557569E0,1.546361595E-1,9.521639824E0,2.295315027E0
1.612444652E0,3.559323549E-1,9.480961800E0,1.402493119E0
1.622331736E0,6.789634228E-1,9.612566948E0,7.247261405E-1
1.632218871E0,7.770691514E-1,9.753743172E0,2.676970363E-1
1.642105954E0,7.698906660E-1,9.760921478E0,8.063812256E-1
1.651993090E0,2.985046208E-1,9.535996437E0,1.376172066E0
1.661880173E0,-4.175475538E-1,9.195916176E0,1.684846282E0
1.671767257E0,-9.203394055E-1,8.808279037E0,1.780559182E0
1.681654392E0,-1.001695395E0,8.595019341E0,1.859522343E0
1.691541475E0,-7.357929349E-1,8.705088615E0,1.787737608E0
1.701428611E0,-3.696911037E-1,8.978169441E0,1.696810365E0
1.711315694E0,-4.079762697E-1,9.296713829E0,1.873879194E0
1.721202777E0,-8.195417523E-1,9.349356651E0,2.046461582E0
1.731089913E0,-1.238584876E0,9.229415894E0,1.991426587E0
1.740976996E0,-1.296012521E0,9.195916176E0,2.084746838E0
1.750864132E0,-1.008873820E0,9.320642471E0,1.938784599E0
1.760751215E0,-3.672982752E-1,9.674779892E0,1.491027594E0
1.770638298E0,1.354935765E-1,9.995717049E0,1.143769264E0
1.780525434E0,2.240280211E-1,9.993324280E0,1.304088354E0
1.790412517E0,1.833500415E-1,9.638887405E0,1.414457321E0
1.800299600E0,3.296113312E-1,9.299106598E0,1.402493119E0
1.810186736E0,5.665007830E-1,9.260522842E0,1.134197950E0
1.820073819E0,9.783653617E-1,9.299106598E0,1.134197950E0
1.829960954E0,1.313360572E0,9.392427444E0,7.342974544E-1
1.839848038E0,1.462014675E0,9.440283775E0,5.356931686E-1
1.849735173E0,1.401894927E0,9.449854851E0,8.063812256E-1
1.859622257E0,1.270289779E0,9.399605751E0,9.619147182E-1
1.869509340E0,1.105184913E0,9.255737305E0,1.158126116E0
1.879396475E0,1.121934772E0,9.095417976E0,1.031306505E0
1.889283559E0,1.416251898E0,8.892027855E0,7.749754190E-1
1.899170694E0,1.842473388E0,8.738887787E0,6.720840335E-1
