"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.992023610E-1,-1.011942148E0,2.572393417E-1,1.656417489E0
8.090894440E-1,-3.541202545E-1,1.352367401E-1,1.809044242E0
8.189765270E-1,-7.316112518E-3,1.536684036E-1,1.960187793E0
8.288636110E-1,2.067775726E-1,3.458719254E-1,1.983577132E0
8.387507460E-1,1.483225822E-2,6.223173141E-1,2.083073139E0
8.486378290E-1,-2.574098110E-1,9.654731750E-1,1.708325744E0
8.585249130E-1,-4.005203247E-1,1.236670494E0,1.257315993E0
8.684120480E-1,-3.928000927E-1,1.561087608E0,7.338798046E-1
8.782991320E-1,-4.582190514E-1,1.802958488E0,3.180184364E-1
8.881862150E-1,-4.657409191E-1,1.726917267E0,-4.373431206E-3
8.980733500E-1,-2.678377628E-1,1.246954918E0,-3.939834833E-1
9.079604340E-1,2.611396313E-1,5.286941528E-1,-8.166725039E-1
9.178475170E-1,6.506056786E-1,-1.407070160E-1,-1.062879443E0
9.277346000E-1,8.528823853E-1,-3.751592636E-1,-1.187933087E0
9.376217360E-1,5.616958141E-1,-3.935451508E-1,-1.625165701E0
9.475088190E-1,1.968538761E-1,-2.758035660E-1,-1.353233576E0
9.573959020E-1,-1.305108070E-1,-1.560668945E-1,-8.221434355E-1
9.672830380E-1,-2.838995457E-1,-2.290410995E-1,-8.801409006E-1
9.771701210E-1,-1.168518066E-1,-4.958925247E-1,-7.767961025E-1
9.870572040E-1,1.734328270E-2,-7.792453766E-1,-4.106075168E-1
9.969443400E-1,1.307084560E-1,-1.223147392E0,-6.244273186E-1
1.006831423E0,8.116850853E-1,-1.613123894E0,-1.361316204E0
1.016718507E0,1.561034679E0,-1.627584457E0,-1.202091098E0
1.026605642E0,1.930399418E0,-1.542104721E0,-1.305372953E0
1.036492725E0,2.335152388E0,-1.461886406E0,-1.453920126E0
1.046379809E0,2.504086256E0,-1.237808228E0,-1.112465858E0
1.056266944E0,1.974163532E0,-1.219313622E0,-6.090971231E-1
1.066154027E0,1.168978572E0,-1.337250710E0,-2.135937810E-1
1.076041111E0,5.243136883E-1,-1.585061073E0,8.187973499E-2
1.085928246E0,1.446582079E-1,-1.710189819E0,1.575974226E-1
1.095815329E0,1.602753401E-1,-1.484176636E0,-1.173877716E-1
1.105702413E0,3.985522985E-1,-1.162171364E0,-3.337954283E-1
1.115589548E0,6.511096954E-1,-8.901910782E-1,-2.783113718E-1
1.125476632E0,7.019754648E-1,-7.154607773E-1,1.552246809E-1
1.135363715E0,4.639700651E-1,-5.893402100E-1,4.225090742E-1
1.145250850E0,5.526739359E-2,-5.108108521E-1,2.494429350E-1
1.155137934E0,6.487131119E-2,-3.056068420E-1,4.913443327E-1
1.165025017E0,7.258474827E-3,-2.556352615E-1,4.863737822E-1
1.174912152E0,-2.460503578E-2,-5.238924026E-1,8.708953857E-2
1.184799236E0,1.271248162E-1,-9.434661865E-1,-2.809238434E-2
1.194686319E0,4.995511472E-1,-1.418630600E0,-1.718330383E-1
1.204573454E0,9.084880352E-1,-1.660257816E0,-3.467305899E-1
1.214460538E0,1.421185136E0,-1.540453911E0,1.693198681E-1
1.224347621E0,1.748982787E0,-1.291168213E0,2.803752422E-1
1.234234757E0,1.428856373E0,-1.246910095E0,3.052682877E-1
1.244121840E0,3.097456098E-1,-1.383444309E0,4.505882263E-1
1.254008923E0,-1.364084244E0,-1.276694298E0,8.359136581E-1
1.263896059E0,-2.172480822E0,-1.023787498E0,1.657412529E0
1.273783142E0,-1.549529910E0,-8.708009720E-1,1.159639359E0
1.283670277E0,1.446228027E-1,-6.176481247E-1,4.543304443E-1
1.293557361E0,1.768954396E0,-3.177080154E-1,-4.708051682E-3
1.303444444E0,2.741942167E0,-5.345916748E-2,-5.990166664E-1
1.313331579E0,3.449610472E0,2.519083023E-1,-4.831149578E-1
1.323218663E0,3.533370972E0,3.807954788E-1,-8.595567942E-1
1.333105746E0,2.689411402E0,3.194627762E-1,-8.650218248E-1
1.342992882E0,1.524698853E0,-7.816410065E-2,-4.383594990E-1
1.352879965E0,5.185731649E-1,-5.855455399E-1,-4.158291817E-1
1.362767100E0,1.256291866E-1,-8.247108459E-1,-3.445727825E-1
1.372654184E0,1.890910864E-1,-8.164434433E-1,-5.098896027E-1
1.382541267E0,3.727623224E-1,-6.435489655E-1,-7.491974831E-1
1.392428350E0,3.493425846E-1,-3.303537369E-1,-4.543004036E-1
1.402315486E0,2.533494234E-1,-1.259517670E-1,-2.983748913E-1
1.412202569E0,2.886388302E-1,-1.548728943E-1,-5.226156712E-1
1.422089652E0,7.009891272E-1,-4.186220169E-1,-8.059525490E-1
