Time (s),Gyroscope x (deg/s),Gyroscope y (deg/s),Gyroscope z (deg/s)
8.881862150E-1,3.600944579E-1,5.238015205E-2,-1.096470803E-1
8.980733500E-1,3.374931216E-1,7.070557028E-2,-2.318165302E-1
9.079604340E-1,3.258870244E-1,-6.306997687E-2,-3.478775024E-1
9.178475170E-1,3.167243004E-1,-3.220692277E-1,-4.425588250E-1
9.277346000E-1,2.709107697E-1,-5.822901726E-1,-5.121954083E-1
9.376217360E-1,1.805053651E-1,-7.814263701E-1,-5.390726924E-1
9.475088190E-1,1.175880954E-1,-8.895463347E-1,-5.305208564E-1
9.573959020E-1,1.072036922E-1,-9.231429100E-1,-5.054761171E-1
9.672830380E-1,1.072036922E-1,-9.103151560E-1,-4.987567961E-1
9.771701210E-1,1.047603041E-1,-8.290724158E-1,-5.292991400E-1
9.870572040E-1,7.421794534E-2,-7.142331600E-1,-5.653391480E-1
9.969443400E-1,-8.246437646E-3,-6.311579347E-1,-6.032116413E-1
1.006831423E0,-1.591257155E-1,-5.633538961E-1,-6.765133142E-1
1.016718507E0,-3.521534503E-1,-4.332434237E-1,-7.644753456E-1
1.026605642E0,-5.555655956E-1,-3.293993771E-1,-8.298360109E-1
1.036492725E0,-7.076665759E-1,-2.805316150E-1,-8.896990418E-1
1.046379809E0,-7.711946368E-1,-2.518217862E-1,-9.429190755E-1
1.056266944E0,-7.663078904E-1,-2.133384049E-1,-9.600228071E-1
1.066154027E0,-7.534800768E-1,-1.119377613E-1,-9.410865307E-1
1.076041111E0,-7.577560544E-1,6.215370819E-2,-9.074136019E-1
1.085928246E0,-7.901309133E-1,2.301367074E-1,-8.921424150E-1
1.095815329E0,-8.622109294E-1,3.559712470E-1,-9.313129783E-1
1.105702413E0,-9.593356252E-1,4.695888162E-1,-1.040654659E0
1.115589548E0,-1.045465112E0,6.394043565E-1,-1.215967774E0
1.125476632E0,-1.085780978E0,8.398386240E-1,-1.432818651E0
1.135363715E0,-1.069898963E0,9.485694170E-1,-1.645393491E0
1.145250850E0,-1.002094984E0,9.369633198E-1,-1.818263173E0
1.155137934E0,-9.135220647E-1,9.290223122E-1,-1.957536340E0
1.165025017E0,-8.609892130E-1,9.290223122E-1,-2.043665886E0
1.174912152E0,-8.634325862E-1,9.039775729E-1,-2.057715416E0
1.184799236E0,-8.805363178E-1,8.312867880E-1,-2.023507833E0
1.194686319E0,-8.872556686E-1,6.956786513E-1,-1.988689661E0
1.204573454E0,-8.670976758E-1,5.221216679E-1,-1.997241497E0
1.214460538E0,-8.121214509E-1,3.895678520E-1,-2.089479446E0
1.224347621E0,-7.882983685E-1,3.254288733E-1,-2.239136934E0
1.234234757E0,-7.968502641E-1,3.242071867E-1,-2.356419563E0
1.244121840E0,-7.889092565E-1,3.394783735E-1,-2.316714525E0
1.254008923E0,-7.094991207E-1,3.651339412E-1,-2.040611506E0
1.263896059E0,-5.745018721E-1,4.573718905E-1,-1.616683602E0
1.273783142E0,-4.932591617E-1,5.770979524E-1,-1.214746118E0
1.283670277E0,-4.682144225E-1,6.607840061E-1,-9.581902623E-1
1.293557361E0,-4.657710493E-1,6.442911625E-1,-8.389987350E-1
1.303444444E0,-4.559974670E-1,4.934118688E-1,-8.096780181E-1
1.313331579E0,-4.120164812E-1,2.649549842E-1,-8.677085042E-1
1.323218663E0,-3.863608837E-1,1.939439960E-2,-9.630770683E-1
1.333105746E0,-3.686463237E-1,-1.950129867E-1,-9.972845316E-1
1.342992882E0,-3.338280320E-1,-3.581092060E-1,-9.214630723E-1
1.352879965E0,-2.983988822E-1,-4.723376334E-1,-7.699729800E-1
1.362767100E0,-2.641914487E-1,-5.419742465E-1,-6.007682681E-1
1.372654184E0,-2.422009408E-1,-5.529694557E-1,-4.382829070E-1
1.382541267E0,-2.128802687E-1,-5.193728805E-1,-2.855710983E-1
1.392428350E0,-1.359135211E-1,-4.876088202E-1,-1.218640283E-1
1.402315486E0,-3.939964995E-2,-4.955498278E-1,5.772506446E-2
1.412202569E0,3.878879920E-2,-5.376983285E-1,2.379250079E-1
1.422089652E0,9.315420687E-2,-6.097782850E-1,3.851391971E-1
1.431976788E0,1.236965731E-1,-7.142331600E-1,4.847072959E-1
1.441863871E0,1.359135211E-1,-8.797727823E-1,5.427377820E-1
1.451751007E0,1.896680743E-1,-1.105175376E0,5.769452453E-1
1.461638090E0,3.509317636E-1,-1.308587551E0,6.679614782E-1
1.471525225E0,5.776324272E-1,-1.339129925E0,9.135220647E-1
1.481412309E0,7.682167888E-1,-1.050199151E0,1.286749721E0
1.491299392E0,8.195279241E-1,-3.562766612E-1,1.584232330E0
1.501186527E0,7.071320415E-1,4.866925478E-1,1.617828965E0
1.511073611E0,6.924717426E-1,9.516236782E-1,1.460841179E0
1.520960694E0,8.757259250E-1,9.363524914E-1,1.254985690E0
1.530847829E0,1.024161816E0,8.147938848E-1,1.032026410E0
1.540734913E0,1.036378741E0,6.969003677E-1,8.212841153E-1
1.550622048E0,8.806126714E-1,3.003841341E-1,6.948387623E-1
1.560509132E0,6.698703766E-1,-2.939702570E-1,6.423059106E-1
1.570396215E0,4.554629922E-1,-8.535063267E-1,5.696150661E-1
1.580283350E0,2.959555089E-1,-1.225512266E0,4.663818777E-1
1.590170434E0,2.831276953E-1,-1.320193648E0,3.814741075E-1
1.600057569E0,3.833066523E-1,-1.172368646E0,3.698680103E-1
1.609944652E0,4.689016342E-1,-1.004996419E0,4.224008918E-1
1.619831736E0,4.701233208E-1,-8.852704167E-1,4.981459379E-1
1.629718871E0,4.041518271E-1,-8.296833038E-1,5.879405141E-1
1.639605954E0,3.338280320E-1,-8.278507590E-1,6.673506498E-1
1.649493090E0,3.112266660E-1,-7.747070193E-1,7.162184119E-1
1.659380173E0,3.148917556E-1,-6.653653979E-1,7.412631512E-1
1.669267257E0,2.947337925E-1,-5.059342384E-1,7.583668828E-1
1.679154392E0,2.452551723E-1,-3.196258247E-1,7.730271816E-1
1.689041475E0,2.092151791E-1,-1.779092699E-1,7.638645172E-1
1.698928611E0,2.257080674E-1,-1.412584335E-1,7.278245091E-1
1.708815694E0,2.886253297E-1,-1.424801201E-1,6.807892919E-1
1.718702777E0,3.649812341E-1,-1.039967462E-1,6.594096422E-1
1.728589913E0,4.023192823E-1,-3.863608837E-2,6.875085831E-1
1.738476996E0,3.857500553E-1,3.527642787E-2,7.601994276E-1
1.748364132E0,3.790307343E-1,9.330692142E-2,8.304468393E-1
1.758251215E0,4.157579243E-1,1.000262350E-1,8.567132950E-1
1.768138298E0,4.438568950E-1,9.147437662E-2,8.170081973E-1
1.778025434E0,4.414134920E-1,8.047912270E-2,7.406523228E-1
1.787912517E0,4.243097901E-1,6.642963737E-2,6.759024858E-1
1.797799600E0,4.230880737E-1,1.206423342E-2,6.520794630E-1
1.807686736E0,4.285857081E-1,-9.361234307E-2,6.673506498E-1
1.817573819E0,4.304182529E-1,-2.035648525E-1,7.082774043E-1
1.827460954E0,4.395809472E-1,-2.915268540E-1,7.492041588E-1
1.837348038E0,4.255314767E-1,-3.623851240E-1,7.711946368E-1
1.847235173E0,4.114819765E-1,-4.210264683E-1,7.699729800E-1
1.857122257E0,4.188121557E-1,-4.576773047E-1,7.583668828E-1
1.867009340E0,4.328616261E-1,-4.534013867E-1,7.553126216E-1
1.876896475E0,4.463002682E-1,-3.959817290E-1,7.809682488E-1
1.886783559E0,4.487436712E-1,-3.306210935E-1,8.341119289E-1
1.896670694E0,4.340833426E-1,-2.683146596E-1,8.878664970E-1
1.906557777E0,4.224772453E-1,-2.145601064E-1,9.171871543E-1
1.916444913E0,4.175904691E-1,-1.907370538E-1,8.970292211E-1
1.926331996E0,3.986541927E-1,-2.023431510E-1,8.371661901E-1
1.936219079E0,3.741439581E-1,-2.334963679E-1,7.705838084E-1
1.946106215E0,3.796415627E-1,-2.860292196E-1,7.180509567E-1
1.955993298E0,4.114819765E-1,-3.513898849E-1,6.942279339E-1
1.965880434E0,4.414134920E-1,-4.118637741E-1,7.064448595E-1
1.975767517E0,4.475219846E-1,-4.546230733E-1,7.522584200E-1
1.985654600E0,4.310291111E-1,-4.851654470E-1,8.194515705E-1
1.995541736E0,4.090386033E-1,-4.998257756E-1,8.872556686E-1
2.005428819E0,4.004867375E-1,-5.132644176E-1,9.355126023E-1
2.015315954E0,4.029301107E-1,-5.083776116E-1,9.538379908E-1
2.025203038E0,3.857500553E-1,-4.613423944E-1,9.410101771E-1
2.035090173E0,3.558185399E-1,-3.703261614E-1,9.006943107E-1
2.044977257E0,3.497100472E-1,-2.725905776E-1,8.451071978E-1
2.054864392E0,3.497100472E-1,-2.053973973E-1,8.005153537E-1
2.064751475E0,3.497100472E-1,-1.406475753E-1,7.803573608E-1
2.074638559E0,3.423798978E-1,-6.612421572E-2,7.944068313E-1
2.084525694E0,3.350497186E-1,-3.817795310E-3,8.426637650E-1
2.094412777E0,3.454341292E-1,6.642963737E-2,9.019159675E-1
2.104299913E0,3.429907262E-1,1.714953631E-1,9.630007148E-1
2.114186996E0,3.075616062E-1,3.022166789E-1,1.032026410E0
2.124074132E0,2.819060087E-1,4.182776511E-1,1.100441337E0
2.133961215E0,2.776300907E-1,4.995203316E-1,1.130372882E0
2.143848350E0,2.794626355E-1,5.838172436E-1,1.104717255E0
2.153735434E0,2.996205688E-1,6.436802745E-1,1.039967418E0
2.163622517E0,3.576510847E-1,6.723901033E-1,9.617789984E-1
2.173509652E0,3.771981895E-1,6.662816405E-1,8.872556686E-1
2.183396736E0,3.869717419E-1,6.369609833E-1,8.328902125E-1
2.193283871E0,4.127036929E-1,5.954233408E-1,8.041804433E-1
2.203170954E0,4.072060585E-1,5.612159371E-1,7.919634581E-1
2.213058090E0,3.484883606E-1,5.013529062E-1,7.785248160E-1
2.222945173E0,2.849602401E-1,3.846810758E-1,7.559235096E-1
2.232832309E0,2.476985604E-1,2.087570578E-1,7.321004272E-1
2.242719392E0,2.379250079E-1,3.344388679E-2,7.180509567E-1
2.252606475E0,2.348707765E-1,-5.512896553E-2,7.272136807E-1
2.262493611E0,2.446443290E-1,-2.458660305E-2,7.718055248E-1
2.272380694E0,2.568612695E-1,7.681404054E-2,8.261709213E-1
2.282267829E0,2.385358512E-1,1.519482583E-1,8.347227573E-1
2.292154913E0,2.049392611E-1,1.415638477E-1,7.522584200E-1
2.302042048E0,2.049392611E-1,3.405473381E-2,5.971031785E-1
2.311929132E0,2.336490750E-1,-1.021642014E-1,4.413371384E-1
2.321816267E0,2.483094037E-1,-2.231119573E-1,3.533751369E-1
2.331703350E0,2.153236568E-1,-2.958027720E-1,3.387148082E-1
2.341590486E0,1.328592747E-1,-3.403946459E-1,3.582619131E-1
2.351477569E0,4.245388508E-2,-4.039227366E-1,3.979669809E-1
2.361364652E0,1.527118147E-3,-5.163186193E-1,4.639385045E-1
2.371251788E0,2.473931387E-2,-6.048914790E-1,5.616740584E-1
2.381138871E0,6.077930331E-2,-5.700731874E-1,6.875085831E-1
2.391026007E0,1.053711548E-1,-3.843756318E-1,8.047912717E-1
2.400913090E0,1.829487532E-1,-1.290414780E-1,8.579349518E-1
2.410800225E0,2.684673667E-1,4.810422286E-2,8.200624585E-1
2.420687309E0,3.252761662E-1,1.305686086E-1,6.807892919E-1
2.430574444E0,3.155026138E-1,2.063136548E-1,4.731011987E-1
2.440461527E0,2.562504113E-1,3.071034551E-1,2.794626355E-1
2.450348663E0,1.915006191E-1,3.474193811E-1,1.200314835E-1
2.460235746E0,1.615691036E-1,2.496838123E-1,-2.718270384E-2
2.470122882E0,1.236965731E-1,2.305948362E-2,-1.414111406E-1
2.480009965E0,6.077930331E-2,-1.992889196E-1,-2.354816198E-1
2.489897048E0,-2.840439789E-2,-3.782671690E-1,-3.148917556E-1
2.499784184E0,-1.432436854E-1,-5.499152541E-1,-3.973561525E-1
2.509671267E0,-2.428117841E-1,-6.922426820E-1,-4.731011987E-1
2.519558402E0,-2.819060087E-1,-7.704311013E-1,-5.097520351E-1
2.529445486E0,-2.977880239E-1,-7.838697433E-1,-5.341859460E-1
2.539332621E0,-3.075616062E-1,-7.099572420E-1,-5.806103349E-1
2.549219704E0,-3.271087110E-1,-5.871769190E-1,-6.673506498E-1
2.559106840E0,-3.710896969E-1,-4.558447599E-1,-7.882983685E-1
2.568993923E0,-4.040754735E-1,-2.976353168E-1,-9.031376839E-1
2.578881059E0,-4.028537571E-1,-1.491994411E-1,-9.942302704E-1
2.588768142E0,-3.845283389E-1,-2.397575416E-2,-1.066310287E0
2.598655277E0,-3.539859951E-1,8.780929446E-2,-1.118843079E0
2.608542361E0,-2.977880239E-1,1.378987730E-1,-1.143887877E0
2.618429496E0,-2.367033064E-1,1.000262350E-1,-1.109069586E0
2.628316579E0,-2.250972092E-1,5.955760833E-3,-1.024161816E0
2.638203663E0,-2.867927849E-1,-5.757235363E-2,-9.642987251E-1
2.648090798E0,-4.016320705E-1,2.901524538E-3,-1.004003882E0
2.657977934E0,-5.219689608E-1,1.501157135E-1,-1.157326460E0
2.667865017E0,-6.203153729E-1,2.380777150E-1,-1.379064083E0
2.677752100E0,-6.966713071E-1,2.649549842E-1,-1.617905378E0
2.687639236E0,-7.724163532E-1,3.315373361E-1,-1.846973062E0
2.697526319E0,-8.677085042E-1,4.842491746E-1,-2.041222572E0
2.707413454E0,-9.434536099E-1,7.262210250E-1,-2.136514664E0
2.717300538E0,-9.526162744E-1,9.925504327E-1,-2.126741171E0
2.727187673E0,-9.177979827E-1,1.204514384E0,-2.088257790E0
2.737074757E0,-9.037485123E-1,1.315688610E0,-2.087036133E0
2.746961892E0,-9.263498783E-1,1.321186304E0,-2.134682178E0
2.756848975E0,-9.770501852E-1,1.228948355E0,-2.230585098E0
2.766736111E0,-1.065012217E0,1.084177494E0,-2.390016317E0
2.776623194E0,-1.172521353E0,9.607864022E-1,-2.634355068E0
2.786510329E0,-1.263537526E0,8.447254300E-1,-2.936113596E0
2.796397413E0,-1.311794519E0,7.066739202E-1,-3.221379280E0
2.806284548E0,-1.305075169E0,5.019637346E-1,-3.360652447E0
2.816171632E0,-1.203674555E0,3.028275371E-1,-3.281242371E0
2.826058767E0,-1.032637239E0,2.368560284E-1,-3.024075747E0
2.835945850E0,-8.469397426E-1,2.875563502E-1,-2.670395136E0
2.845832986E0,-6.899519563E-1,3.773508966E-1,-2.328931570E0
2.855720069E0,-6.013791561E-1,4.292729199E-1,-2.101085424E0
2.865607204E0,-5.946598053E-1,4.164451063E-1,-2.028394699E0
2.875494288E0,-6.105418205E-1,3.486410677E-1,-2.076040745E0
2.885381423E0,-5.983248949E-1,2.447970361E-1,-2.167667866E0
2.895268507E0,-5.561764240E-1,1.482831687E-1,-2.224476576E0
2.905155642E0,-4.883723855E-1,9.330692142E-2,-2.207372904E0
2.915042725E0,-4.010212123E-1,7.681404054E-2,-2.102307081E0
2.924929861E0,-2.935121059E-1,1.097997949E-1,-1.901338458E0
2.934816944E0,-2.073826492E-1,2.301367074E-1,-1.612407684E0
2.944704079E0,-1.536280811E-1,4.078932703E-1,-1.266057253E0
2.954591163E0,-1.334701329E-1,5.245651007E-1,-9.275715351E-1
2.964478298E0,-1.383569092E-1,5.367820263E-1,-6.710157394E-1
2.974365382E0,-1.408002973E-1,4.769189954E-1,-5.262449384E-1
2.984252517E0,-1.120904684E-1,3.895678520E-1,-4.755446017E-1
2.994139600E0,-4.245388508E-2,3.150444627E-1,-5.018110275E-1
3.004026736E0,1.557660475E-2,2.441861928E-1,-5.622848868E-1
3.013913819E0,6.444438547E-2,1.800472289E-1,-6.038225293E-1
3.023800954E0,1.029277667E-1,1.305686086E-1,-5.848862529E-1
3.033688038E0,9.926267713E-2,1.097997949E-1,-4.926483035E-1
3.043575173E0,4.672981426E-2,8.047912270E-2,-3.423798978E-1
3.053462257E0,-1.740914769E-2,1.572931744E-2,-1.841704547E-1
3.063349392E0,-5.650337040E-2,-1.455343664E-1,-6.627693027E-2
3.073236475E0,-5.283828825E-2,-3.837648034E-1,-1.527118147E-3
3.083123611E0,4.978405312E-2,-6.097782850E-1,3.817795217E-2
3.093010694E0,2.562504113E-1,-7.740961909E-1,1.114796251E-1
3.102897829E0,4.646256864E-1,-8.357917666E-1,2.476985604E-1
3.112784913E0,5.800758004E-1,-7.936432958E-1,3.973561525E-1
3.122672048E0,6.307761669E-1,-6.916317940E-1,4.822639227E-1
3.132559132E0,5.922927856E-1,-5.822901726E-1,4.694361091E-1
3.142446267E0,4.841728210E-1,-4.631749392E-1,4.089622498E-1
3.152333350E0,4.395809472E-1,-3.733803928E-1,4.028537571E-1
3.162220486E0,5.360948443E-1,-2.933593988E-1,5.066977739E-1
3.172107569E0,6.436039209E-1,-1.424801201E-1,6.642963886E-1
3.181994704E0,6.765896678E-1,3.100049868E-2,7.809682488E-1
3.191881788E0,6.521558166E-1,1.360662282E-1,8.139539957E-1
3.201768923E0,5.403707623E-1,1.446180940E-1,7.785248160E-1
3.211656007E0,3.613161445E-1,9.391776472E-2,7.088882327E-1
3.221543142E0,1.866138428E-1,3.405473381E-2,6.239804626E-1
3.231430225E0,9.376505762E-2,3.512371797E-3,5.341859460E-1
3.241317361E0,7.543963939E-2,1.817270555E-2,4.694361091E-1
3.251204444E0,8.399149776E-2,9.636115283E-2,4.590517282E-1
3.261091579E0,9.987352788E-2,2.203631550E-1,5.054761171E-1
3.270978663E0,1.139230132E-1,3.400892019E-1,5.946598053E-1
3.280865798E0,1.157555580E-1,4.341596961E-1,7.064448595E-1
3.290752934E0,1.102579311E-1,5.031854510E-1,8.249492049E-1
3.300640017E0,1.041494608E-1,5.520532131E-1,9.391776323E-1
3.310527100E0,9.315420687E-2,6.051968932E-1,1.042410851E0
3.320414236E0,8.032641560E-2,6.717792749E-1,1.130983710E0
3.330301319E0,9.681928903E-2,7.237776518E-1,1.214058876E0
3.340188454E0,1.542389393E-1,7.249993682E-1,1.294690728E0
3.350075538E0,2.367033064E-1,6.809419990E-1,1.325843930E0
3.359962673E0,3.063398898E-1,5.868715048E-1,1.255596519E0
3.369849809E0,3.356605768E-1,4.372139275E-1,1.097997904E0
3.379736892E0,3.313846290E-1,2.203631550E-1,9.294040799E-1
3.389624027E0,2.843494117E-1,-2.886253223E-2,8.194515705E-1
3.399511111E0,2.153236568E-1,-2.506000996E-1,7.876875401E-1
3.409398246E0,1.670667231E-1,-4.472928941E-1,8.176190853E-1
3.419285329E0,1.524063945E-1,-6.262711287E-1,8.787037730E-1
3.429172465E0,1.640124917E-1,-7.710419297E-1,9.306257963E-1
3.439059548E0,1.969982386E-1,-8.516737819E-1,9.397885203E-1
3.448946684E0,2.696890533E-1,-8.742751479E-1,8.799254894E-1
3.458833767E0,3.319954872E-1,-8.883246183E-1,7.864658237E-1
3.468720902E0,3.472666740E-1,-8.785510659E-1,7.162184119E-1
3.478607986E0,3.417690396E-1,-8.119687438E-1,6.936170459E-1
3.488495121E0,3.313846290E-1,-7.166765332E-1,7.143858671E-1
3.498382204E0,3.271087110E-1,-5.816792846E-1,7.394306064E-1
3.508269340E0,3.124483824E-1,-4.167505503E-1,7.369872332E-1
3.518156423E0,3.008422852E-1,-2.640387416E-1,7.052231431E-1
3.528043559E0,3.051182032E-1,-1.528645307E-1,6.667397618E-1
3.537930642E0,3.136700690E-1,-7.162184268E-2,6.441384554E-1
3.547817777E0,3.075616062E-1,-1.542389300E-2,6.429167390E-1
3.557704861E0,2.727433145E-1,3.771981969E-2,6.313106418E-1
3.567591996E0,2.232646793E-1,7.681404054E-2,5.989357233E-1
3.577479132E0,1.915006191E-1,6.826218218E-2,5.586197972E-1
3.587366215E0,1.719534993E-1,3.894151375E-2,5.244123936E-1
3.597253350E0,1.615691036E-1,9.009997360E-3,5.073086619E-1
3.607140434E0,1.572931707E-1,-3.069507517E-2,5.030327439E-1
3.617027569E0,1.444653720E-1,-8.567132801E-2,5.109737515E-1
3.626914652E0,1.432436854E-1,-1.467560530E-1,5.146388412E-1
3.636801788E0,1.414111406E-1,-1.882936656E-1,4.938700199E-1
3.646688871E0,1.224748790E-1,-2.084516287E-1,4.541649222E-1
3.656576007E0,1.218640283E-1,-2.347180545E-1,4.144598544E-1
3.666463090E0,1.359135211E-1,-2.860292196E-1,3.912476599E-1
3.676350225E0,1.255291104E-1,-3.403946459E-1,3.918585181E-1
3.686237309E0,1.029277667E-1,-3.672719002E-1,4.120164812E-1
3.696124444E0,9.559759498E-2,-3.764346242E-1,4.529432356E-1
3.706011527E0,1.120904684E-1,-3.807105422E-1,5.085303187E-1
3.715898663E0,1.304158866E-1,-3.550549746E-1,5.659499764E-1
3.725785798E0,1.365243644E-1,-2.945810854E-1,6.074876189E-1
3.735672882E0,1.426328421E-1,-2.249445021E-1,6.294780970E-1
3.745560017E0,1.408002973E-1,-1.760767251E-1,6.484143734E-1
3.755447100E0,1.408002973E-1,-1.473668963E-1,6.759024858E-1
3.765334236E0,1.542389393E-1,-1.259872466E-1,7.131641507E-1
3.775221319E0,1.658450365E-1,-9.055810422E-2,7.620319724E-1
3.785108454E0,1.572931707E-1,-3.802524135E-2,8.182299137E-1
3.794995538E0,1.420219839E-1,8.399149403E-3,8.701519370E-1
3.804882673E0,1.401894391E-1,2.489202656E-2,9.080244303E-1
